#,协议方法,方法,参数,URL,请求体,响应处理,说明
667,getMerchantStoreList,post,"merchantId, isRefresh, currencyVersion, dataVer, callback, isNeedWait, retryType",get_merchant_store_list,{merchantId = merchantId,createGetResponseFunction,
668,buyMerchantGoods,post,"merchantId, goodsList, recordList, currencyVersion, dataVer, callback, isNeedWait, retryType",buy_merchant_goods,{merchantId = merchantId,createGetResponseFunction,
669,testCurrency,post,"currencyId, num, action, currencyVersion, callback, isNeedWait, retryType",test_currency,{currencyId = currencyId,createGetResponseFunction,
670,consumeSpecialProps,post,"itemId, number, currencyVersion, callback, isNeedWait, retryType",consume_special_props,{itemId = itemId,createGetResponseFunction,
671,getRechargeBenefitsInfo,get,"callback, isNeedWait, retryType",get_recharge_benefits_info,nil,createGetResponseFunction,
672,getRechargeBenefitsReward,post,"id, isEmail, dataVer, currencyVersion, callback, isNeedWait, retryType",get_recharge_benefits_reward,{id = id,createGetResponseFunction,
673,getMerchantEventInfo,post,"activityId, currencyVersion, callback, isNeedWait, retryType",get_merchant_event_info,{activityId = activityId,createGetResponseFunction,
674,getActivityChallengeMapClearTimeInfo,get,"callback, isNeedWait, retryType",get_challengemap_task_info,nil,createGetResponseFunction,
675,getActivityChallengeMapClearReward,post,"isEmail, dataVer, currencyVersion, callback, isNeedWait, retryType",get_challengemap_task_reward,{isEmail = isEmail,createGetResponseFunction,
676,getServerResourceCount,post,"itemList, dataVer, currencyVersion, callback, isNeedWait, retryType",get_server_resource_count,{itemList = itemList,createGetResponseFunction,
